"local_code","local_name","api_team_id","api_team_name","api_country","founded","national","logo","source","data_status"
"ALG","Algeria","1532","Algeria","Algeria","1962","True","https://media.api-sports.io/football/teams/1532.png","API-Football teams endpoint; supplemented missing profile","available"
"ARG","Argentina","26","Argentina","Argentina","","True","","API-Football teams endpoint","available"
"AUS","Australia","20","Australia","Australia","1961","True","https://media.api-sports.io/football/teams/20.png","API-Football teams endpoint","available"
"AUT","Austria","775","Austria","Austria","1904","True","https://media.api-sports.io/football/teams/775.png","API-Football teams endpoint; supplemented missing profile","available"
"BEL","Belgium","1","Belgium","Belgium","1895","True","https://media.api-sports.io/football/teams/1.png","API-Football teams endpoint","available"
"BIH","Bosnia & Herzegovina","1113","Bosnia & Herzegovina","Bosnia","1992","True","https://media.api-sports.io/football/teams/1113.png","API-Football teams endpoint","available"
"BRA","Brazil","6","Brazil","Brazil","1914","True","https://media.api-sports.io/football/teams/6.png","API-Football teams endpoint","available"
"CAN","Canada","5529","Canada","Canada","1912","True","https://media.api-sports.io/football/teams/5529.png","API-Football teams endpoint","available"
"CIV","Ivory Coast","19129","Côte d'Ivoire","Ivory-Coast","1960","True","https://media.api-sports.io/football/teams/19129.png","API-Football teams endpoint","available"
"COL","Colombia","8","Colombia","Colombia","1924","True","https://media.api-sports.io/football/teams/8.png","API-Football teams endpoint; supplemented missing profile","available"
"CPV","Cape Verde","19128","Cabo Verde","Cape-Verde","","True","https://media.api-sports.io/football/teams/19128.png","API-Football teams endpoint","available"
"CRO","Croatia","3","Croatia","Croatia","","True","","API-Football teams endpoint","available"
"CUW","Curacao","5530","Curaçao","Curacao","1921","True","https://media.api-sports.io/football/teams/5530.png","API-Football teams endpoint","available"
"CZE","Czech Republic","770","Czech Republic","Czech-Republic","1901","True","https://media.api-sports.io/football/teams/770.png","API-Football teams endpoint","available"
"ECU","Ecuador","2382","Ecuador","Ecuador","1925","True","https://media.api-sports.io/football/teams/2382.png","API-Football teams endpoint","available"
"EGY","Egypt","32","Egypt","Egypt","1921","True","https://media.api-sports.io/football/teams/32.png","API-Football teams endpoint","available"
"ENG","England","10","England","England","","True","","API-Football teams endpoint","available"
"ESP","Spain","9","Spain","Spain","1913","True","https://media.api-sports.io/football/teams/9.png","API-Football teams endpoint","available"
"FIFA_PLAYOFF_1","FIFA Playoff 1","","","","","","","API-Football teams endpoint","missing_api_profile"
"FIFA_PLAYOFF_2","FIFA Playoff 2","","","","","","","API-Football teams endpoint","missing_api_profile"
"FRA","France","2","France","France","1919","True","https://media.api-sports.io/football/teams/2.png","API-Football teams endpoint","available"
"GER","Germany","25","Germany","Germany","1900","True","https://media.api-sports.io/football/teams/25.png","API-Football teams endpoint","available"
"GHA","Ghana","1504","Ghana","Ghana","","True","","API-Football teams endpoint","available"
"HAI","Haiti","2386","Haiti","Haiti","1904","True","https://media.api-sports.io/football/teams/2386.png","API-Football teams endpoint","available"
"IRN","Iran","22","Iran","Iran","","True","","API-Football teams endpoint","available"
"JOR","Jordan","1548","Jordan","Jordan","1949","True","https://media.api-sports.io/football/teams/1548.png","API-Football teams endpoint; supplemented missing profile","available"
"JPN","Japan","12","Japan","Japan","1921","True","https://media.api-sports.io/football/teams/12.png","API-Football teams endpoint","available"
"KOR","South Korea","17","South Korea","South-Korea","1933","True","https://media.api-sports.io/football/teams/17.png","API-Football teams endpoint","available"
"KSA","Saudi Arabia","23","Saudi Arabia","Saudi-Arabia","1956","True","https://media.api-sports.io/football/teams/23.png","API-Football teams endpoint","available"
