"match_id","match_date","kickoff","stage","group","team_a","team_b","stadium_id","city","country","stadium","status","team_a_code","team_b_code","score_a","score_b","team_a_placeholder","team_b_placeholder"
"1","2026-06-11","13:00 UTC-6","Matchday 1","Group A","Mexico","South Africa","MEX","Mexico City","Mexico","Mexico City Stadium","scheduled","MEX","RSA","","","false","false"
"2","2026-06-11","20:00 UTC-6","Matchday 1","Group A","South Korea","Czech Republic","GDL","Guadalajara","Mexico","Estadio Guadalajara","scheduled","KOR","CZE","","","false","false"
"3","2026-06-18","12:00 UTC-4","Matchday 8","Group A","Czech Republic","South Africa","ATL","Atlanta","USA","Atlanta Stadium","scheduled","CZE","RSA","","","false","false"
"4","2026-06-18","19:00 UTC-6","Matchday 8","Group A","Mexico","South Korea","GDL","Guadalajara","Mexico","Estadio Guadalajara","scheduled","MEX","KOR","","","false","false"
"5","2026-06-24","19:00 UTC-6","Matchday 14","Group A","Czech Republic","Mexico","MEX","Mexico City","Mexico","Mexico City Stadium","scheduled","CZE","MEX","","","false","false"
"6","2026-06-24","19:00 UTC-6","Matchday 14","Group A","South Africa","South Korea","MTY","Monterrey","Mexico","Estadio Monterrey","scheduled","RSA","KOR","","","false","false"
"7","2026-06-12","15:00 UTC-4","Matchday 2","Group B","Canada","Bosnia and Herzegovina","TOR","Toronto","Canada","Toronto Stadium","scheduled","CAN","BIH","","","false","false"
"8","2026-06-13","12:00 UTC-7","Matchday 3","Group B","Qatar","Switzerland","SF","San Francisco Bay Area","USA","San Francisco Bay Area Stadium","scheduled","QAT","SUI","","","false","false"
"9","2026-06-18","12:00 UTC-7","Matchday 8","Group B","Switzerland","Bosnia and Herzegovina","LA","Los Angeles","USA","Los Angeles Stadium","scheduled","SUI","BIH","","","false","false"
"10","2026-06-18","15:00 UTC-7","Matchday 8","Group B","Canada","Qatar","VAN","Vancouver","Canada","BC Place Vancouver","scheduled","CAN","QAT","","","false","false"
"11","2026-06-24","12:00 UTC-7","Matchday 14","Group B","Switzerland","Canada","VAN","Vancouver","Canada","BC Place Vancouver","scheduled","SUI","CAN","","","false","false"
"12","2026-06-24","12:00 UTC-7","Matchday 14","Group B","Bosnia and Herzegovina","Qatar","SEA","Seattle","USA","Seattle Stadium","scheduled","BIH","QAT","","","false","false"
"13","2026-06-13","18:00 UTC-4","Matchday 3","Group C","Brazil","Morocco","NYNJ","New York/New Jersey","USA","New York New Jersey Stadium","scheduled","BRA","MAR","","","false","false"
"14","2026-06-13","21:00 UTC-4","Matchday 3","Group C","Haiti","Scotland","BOS","Boston","USA","Boston Stadium","scheduled","HAI","SCO","","","false","false"
"15","2026-06-19","18:00 UTC-4","Matchday 9","Group C","Scotland","Morocco","BOS","Boston","USA","Boston Stadium","scheduled","SCO","MAR","","","false","false"
"16","2026-06-19","21:00 UTC-4","Matchday 9","Group C","Brazil","Haiti","PHI","Philadelphia","USA","Philadelphia Stadium","scheduled","BRA","HAI","","","false","false"
"17","2026-06-24","18:00 UTC-4","Matchday 14","Group C","Scotland","Brazil","MIA","Miami","USA","Miami Stadium","scheduled","SCO","BRA","","","false","false"
