"match_id","bookmaker","market","team_a_odds","draw_odds","team_b_odds","team_a_implied","draw_implied","team_b_implied","recorded_at","source","bookmaker_type"
"1","1xBet","h2h","1.54","4.3","6.8","64.9","23.3","14.7","2026-05-14T14:54:17Z","theoddsapi_event_odds_pool","Unknown"
"1","888sport","h2h","1.5","3.8","6.0","66.7","26.3","16.7","2026-05-14T14:53:53Z","theoddsapi_event_odds_pool","Soft"
"1","Bet Right","h2h","1.48","3.9","6.5","67.6","25.6","15.4","2026-05-14T14:54:40Z","theoddsapi_event_odds_pool","Unknown"
"1","Bet Victor","h2h","1.45","4.0","6.5","69","25","15.4","2026-05-14T14:53:02Z","theoddsapi_event_odds_pool","Unknown"
"1","Betclic (FR)","h2h","1.48","4.05","5.9","67.6","24.7","16.9","2026-05-14T14:50:01Z","theoddsapi_event_odds_pool","Unknown"
"1","Betfair","h2h","1.53","4.5","6.6","65.4","22.2","15.2","2026-05-14T14:54:41Z","theoddsapi_event_odds_pool","Sharp"
"1","Betfair","h2h","1.53","4.3","6.6","65.4","23.3","15.2","2026-05-14T14:54:41Z","theoddsapi_event_odds_pool","Sharp"
"1","Betfair","h2h","1.53","4.5","6.6","65.4","22.2","15.2","2026-05-14T14:54:40Z","theoddsapi_event_odds_pool","Sharp"
"1","Betfred (UK)","h2h","1.5","4.0","7.0","66.7","25","14.3","2026-05-14T14:54:42Z","theoddsapi_event_odds_pool","Soft"
"1","BetMGM","h2h","1.48","3.9","5.5","67.6","25.6","18.2","2026-05-14T14:53:32Z","theoddsapi_event_odds_pool","Soft"
"1","BetOnline.ag","h2h","1.53","4.4","6.55","65.4","22.7","15.3","2026-05-14T14:53:54Z","theoddsapi_event_odds_pool","Sharp"
"1","Betr","h2h","1.5","4.0","6.5","66.7","25","15.4","2026-05-14T14:53:57Z","theoddsapi_event_odds_pool","Unknown"
"1","BetRivers","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:53:12Z","theoddsapi_event_odds_pool","Soft"
"1","Betsson","h2h","1.52","4.1","7.1","65.8","24.4","14.1","2026-05-14T14:54:22Z","theoddsapi_event_odds_pool","Unknown"
"1","Betway","h2h","1.5","4.2","5.75","66.7","23.8","17.4","2026-05-14T14:54:18Z","theoddsapi_event_odds_pool","Soft"
"1","Bovada","h2h","1.51","4.2","6.5","66.2","23.8","15.4","2026-05-14T14:51:43Z","theoddsapi_event_odds_pool","Sharp"
"1","BoyleSports","h2h","1.5","3.8","6.5","66.7","26.3","15.4","2026-05-14T14:54:17Z","theoddsapi_event_odds_pool","Unknown"
"1","Casumo","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:39Z","theoddsapi_event_odds_pool","Unknown"
"1","Coolbet","h2h","1.53","4.2","7.25","65.4","23.8","13.8","2026-05-14T14:54:17Z","theoddsapi_event_odds_pool","Unknown"
"1","Coral","h2h","1.53","4.2","6.0","65.4","23.8","16.7","2026-05-14T14:54:39Z","theoddsapi_event_odds_pool","Soft"
"1","DraftKings","h2h","1.51","4.3","6.5","66.2","23.3","15.4","2026-05-14T14:52:47Z","theoddsapi_event_odds_pool","Soft"
"1","Everygame","h2h","1.5","4.0","6.25","66.7","25","16","2026-05-14T14:54:27Z","theoddsapi_event_odds_pool","Unknown"
"1","FanDuel","h2h","1.53","4.1","7.0","65.4","24.4","14.3","2026-05-14T14:53:32Z","theoddsapi_event_odds_pool","Soft"
"1","Grosvenor","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:18Z","theoddsapi_event_odds_pool","Unknown"
"1","GTbets","h2h","1.55","4.15","6.18","64.5","24.1","16.2","2026-05-14T14:54:42Z","theoddsapi_event_odds_pool","Unknown"
"1","Ladbrokes","h2h","1.53","4.2","6.0","65.4","23.8","16.7","2026-05-14T14:54:42Z","theoddsapi_event_odds_pool","Soft"
"1","Ladbrokes","h2h","1.52","4.1","5.8","65.8","24.4","17.2","2026-05-14T14:54:18Z","theoddsapi_event_odds_pool","Soft"
"1","LeoVegas","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:17Z","theoddsapi_event_odds_pool","Unknown"
"1","LeoVegas (SE)","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:40Z","theoddsapi_event_odds_pool","Unknown"
"1","LiveScore Bet","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:53:54Z","theoddsapi_event_odds_pool","Unknown"
"1","Marathon Bet","h2h","1.52","4.3","7.1","65.8","23.3","14.1","2026-05-14T14:54:40Z","theoddsapi_event_odds_pool","Unknown"
"1","MyBookie.ag","h2h","1.5","4.1","6.0","66.7","24.4","16.7","2026-05-14T14:54:41Z","theoddsapi_event_odds_pool","Unknown"
"1","Neds","h2h","1.52","4.1","5.8","65.8","24.4","17.2","2026-05-14T14:54:18Z","theoddsapi_event_odds_pool","Soft"
"1","Nordic Bet","h2h","1.52","4.1","7.1","65.8","24.4","14.1","2026-05-14T14:54:20Z","theoddsapi_event_odds_pool","Unknown"
"1","Paddy Power","h2h","1.5","4.0","7.0","66.7","25","14.3","2026-05-14T14:52:48Z","theoddsapi_event_odds_pool","Unknown"
"1","Pinnacle","h2h","1.49","4.14","6.41","67.1","24.2","15.6","2026-05-14T14:54:38Z","theoddsapi_event_odds_pool","Sharp"
"1","PMU (FR)","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:39Z","theoddsapi_event_odds_pool","Unknown"
"1","PointsBet (AU)","h2h","1.5","4.1","6.5","66.7","24.4","15.4","2026-05-14T14:53:54Z","theoddsapi_event_odds_pool","Soft"
"1","Sky Bet","h2h","1.5","4.0","6.5","66.7","25","15.4","2026-05-14T14:54:44Z","theoddsapi_event_odds_pool","Unknown"
"1","Smarkets","h2h","1.51","4.3","6.4","66.2","23.3","15.6","2026-05-14T14:54:20Z","theoddsapi_event_odds_pool","Sharp"
"1","SportsBet","h2h","1.47","4.1","7.0","68","24.4","14.3","2026-05-14T14:54:42Z","theoddsapi_event_odds_pool","Soft"
"1","TAB","h2h","1.52","4.0","6.5","65.8","25","15.4","2026-05-14T14:53:58Z","theoddsapi_event_odds_pool","Soft"
"1","TABtouch","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:40Z","theoddsapi_event_odds_pool","Soft"
"1","Unibet","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:18Z","theoddsapi_event_odds_pool","Soft"
"1","Unibet (FR)","h2h","1.48","4.05","5.9","67.6","24.7","16.9","2026-05-14T14:54:39Z","theoddsapi_event_odds_pool","Soft"
"1","Unibet (NL)","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:39Z","theoddsapi_event_odds_pool","Soft"
"1","Unibet (SE)","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:54:17Z","theoddsapi_event_odds_pool","Soft"
"1","Unibet (UK)","h2h","1.48","4.0","6.0","67.6","25","16.7","2026-05-14T14:53:55Z","theoddsapi_event_odds_pool","Soft"
"1","Virgin Bet","h2h","1.48","4.0","7.0","67.6","25","14.3","2026-05-14T14:53:55Z","theoddsapi_event_odds_pool","Unknown"
"1","William Hill","h2h","1.5","3.8","6.0","66.7","26.3","16.7","2026-05-14T14:54:17Z","theoddsapi_event_odds_pool","Soft"
"1","Winamax (FR)","h2h","1.44","4.0","6.0","69.4","25","16.7","2026-05-14T14:53:58Z","theoddsapi_event_odds_pool","Unknown"
"2","1xBet","h2h","2.73","3.2","2.83","36.6","31.2","35.3","2026-05-14T14:54:17Z","theoddsapi_event_odds_pool","Unknown"
"2","888sport","h2h","2.5","3.25","2.62","40","30.8","38.2","2026-05-14T14:53:53Z","theoddsapi_event_odds_pool","Soft"
"2","Bet Right","h2h","2.65","3.1","2.6","37.7","32.3","38.5","2026-05-14T14:54:40Z","theoddsapi_event_odds_pool","Unknown"
"2","Bet Victor","h2h","2.6","3.1","2.6","38.5","32.3","38.5","2026-05-14T14:53:02Z","theoddsapi_event_odds_pool","Unknown"
"2","Betclic (FR)","h2h","2.62","3.07","2.62","38.2","32.6","38.2","2026-05-14T14:50:01Z","theoddsapi_event_odds_pool","Unknown"
"2","Betfair","h2h","2.76","3.2","2.84","36.2","31.2","35.2","2026-05-14T14:54:41Z","theoddsapi_event_odds_pool","Sharp"
"2","Betfair","h2h","2.76","3.2","2.88","36.2","31.2","34.7","2026-05-14T14:54:40Z","theoddsapi_event_odds_pool","Sharp"
"2","Betfair","h2h","2.76","3.2","2.88","36.2","31.2","34.7","2026-05-14T14:54:41Z","theoddsapi_event_odds_pool","Sharp"
"2","Betfred (UK)","h2h","2.75","3.2","2.62","36.4","31.2","38.2","2026-05-14T14:54:42Z","theoddsapi_event_odds_pool","Soft"
"2","BetMGM","h2h","2.7","3.2","2.65","37","31.2","37.7","2026-05-14T14:53:32Z","theoddsapi_event_odds_pool","Soft"
"2","BetOnline.ag","h2h","2.66","3.25","2.85","37.6","30.8","35.1","2026-05-14T14:53:54Z","theoddsapi_event_odds_pool","Sharp"
"2","Betr","h2h","2.62","3.2","2.62","38.2","31.2","38.2","2026-05-14T14:53:57Z","theoddsapi_event_odds_pool","Unknown"
