"team_code","recent_matches","latest_match_date","oldest_match_date","wins","draws","losses","goals_for","goals_against","clean_sheets","failed_to_score","scored_matches","conceded_matches","recent_form_level","attack_note","defense_note","summary_note","source"
"ALG","5","2026-03-31","2025-12-31","3","1","1","11","3","3","2","3","2","良好","进攻稳定性一般","防守稳定","近5场 3 胜 1 平 1 负，进 11 球失 3 球；进攻稳定性一般，防守稳定。","calculated_from_team_recent_matches_csv"
"ARG","5","2026-03-31","2025-10-10","5","0","0","16","1","4","0","5","1","强势","近5场场场进球","防守稳定","近5场 5 胜 0 平 0 负，进 16 球失 1 球；近5场场场进球，防守稳定。","calculated_from_team_recent_matches_csv"
"AUS","5","2026-03-31","2025-10-14","2","0","3","7","7","1","2","3","4","波动","进攻稳定性一般","连续丢球压力","近5场 2 胜 0 平 3 负，进 7 球失 7 球；进攻稳定性一般，连续丢球压力。","calculated_from_team_recent_matches_csv"
"AUT","5","2026-03-31","2025-10-12","3","1","1","9","3","2","1","4","3","良好","进攻有输出","防守中性","近5场 3 胜 1 平 1 负，进 9 球失 3 球；进攻有输出，防守中性。","calculated_from_team_recent_matches_csv"
"BEL","5","2026-03-31","2025-10-13","3","2","0","18","6","1","0","5","4","良好","近5场场场进球","连续丢球压力","近5场 3 胜 2 平 0 负，进 18 球失 6 球；近5场场场进球，连续丢球压力。","calculated_from_team_recent_matches_csv"
"BIH","5","2026-03-31","2025-10-12","2","3","0","10","5","0","0","5","5","一般","近5场场场进球","连续丢球压力","近5场 2 胜 3 平 0 负，进 10 球失 5 球；近5场场场进球，连续丢球压力。","calculated_from_team_recent_matches_csv"
"BRA","5","2026-03-31","2025-10-14","2","1","2","9","7","1","0","5","4","一般","近5场场场进球","连续丢球压力","近5场 2 胜 1 平 2 负，进 9 球失 7 球；近5场场场进球，连续丢球压力。","calculated_from_team_recent_matches_csv"
"CAN","5","2026-03-31","2025-10-14","1","4","0","4","2","4","3","2","1","一般","进攻稳定性一般","防守稳定","近5场 1 胜 4 平 0 负，进 4 球失 2 球；进攻稳定性一般，防守稳定。","calculated_from_team_recent_matches_csv"
"CIV","5","2026-03-31","2025-12-31","4","0","1","13","5","3","0","5","2","良好","近5场场场进球","防守稳定","近5场 4 胜 0 平 1 负，进 13 球失 5 球；近5场场场进球，防守稳定。","calculated_from_team_recent_matches_csv"
"COD","5","2026-03-31","2025-12-27","3","1","1","7","2","3","1","4","2","良好","进攻有输出","防守稳定","近5场 3 胜 1 平 1 负，进 7 球失 2 球；进攻有输出，防守稳定。","calculated_from_team_recent_matches_csv"
"COL","5","2026-03-29","2025-10-14","2","1","2","7","6","2","1","4","3","一般","进攻有输出","防守中性","近5场 2 胜 1 平 2 负，进 7 球失 6 球；进攻有输出，防守中性。","calculated_from_team_recent_matches_csv"
"CPV","5","2026-03-30","2025-10-13","1","3","1","7","6","2","1","4","3","一般","进攻有输出","防守中性","近5场 1 胜 3 平 1 负，进 7 球失 6 球；进攻有输出，防守中性。","calculated_from_team_recent_matches_csv"
"CRO","5","2026-03-31","2025-10-12","4","0","1","12","7","1","0","5","4","良好","近5场场场进球","连续丢球压力","近5场 4 胜 0 平 1 负，进 12 球失 7 球；近5场场场进球，连续丢球压力。","calculated_from_team_recent_matches_csv"
"CUW","5","2026-03-31","2025-10-14","1","2","2","9","8","2","2","3","3","波动","进攻稳定性一般","防守中性","近5场 1 胜 2 平 2 负，进 9 球失 8 球；进攻稳定性一般，防守中性。","calculated_from_team_recent_matches_csv"
"CZE","5","2026-03-31","2025-10-12","2","2","1","12","6","2","0","5","3","一般","近5场场场进球","防守中性","近5场 2 胜 2 平 1 负，进 12 球失 6 球；近5场场场进球，防守中性。","calculated_from_team_recent_matches_csv"
"ECU","5","2026-03-31","2025-10-14","1","4","0","5","3","2","1","4","3","一般","进攻有输出","防守中性","近5场 1 胜 4 平 0 负，进 5 球失 3 球；进攻有输出，防守中性。","calculated_from_team_recent_matches_csv"
"EGY","5","2026-03-31","2026-01-10","2","2","1","7","3","3","3","2","2","一般","进攻稳定性一般","防守稳定","近5场 2 胜 2 平 1 负，进 7 球失 3 球；进攻稳定性一般，防守稳定。","calculated_from_team_recent_matches_csv"
"ENG","5","2026-03-31","2025-10-14","3","1","1","10","2","3","1","4","2","良好","进攻有输出","防守稳定","近5场 3 胜 1 平 1 负，进 10 球失 2 球；进攻有输出，防守稳定。","calculated_from_team_recent_matches_csv"
"ESP","5","2026-03-31","2025-10-14","3","2","0","13","2","4","1","4","1","良好","进攻有输出","防守稳定","近5场 3 胜 2 平 0 负，进 13 球失 2 球；进攻有输出，防守稳定。","calculated_from_team_recent_matches_csv"
"FIFA_PLAYOFF_1","5","TBD","TBD","0","5","0","0","0","5","5","0","0","一般","进攻稳定性一般","防守稳定","近5场 0 胜 5 平 0 负，进 0 球失 0 球；进攻稳定性一般，防守稳定。","calculated_from_team_recent_matches_csv"
"FIFA_PLAYOFF_2","5","TBD","TBD","0","5","0","0","0","5","5","0","0","一般","进攻稳定性一般","防守稳定","近5场 0 胜 5 平 0 负，进 0 球失 0 球；进攻稳定性一般，防守稳定。","calculated_from_team_recent_matches_csv"
"FRA","5","2026-03-29","2025-10-13","4","1","0","14","5","1","0","5","4","良好","近5场场场进球","连续丢球压力","近5场 4 胜 1 平 0 负，进 14 球失 5 球；近5场场场进球，连续丢球压力。","calculated_from_team_recent_matches_csv"
