"match_id","group","stage","match_date","kickoff","team_code","team_name","current_city","current_stadium","previous_match_id","previous_match_date","previous_city","previous_stadium","rest_days","moved_city","is_final_group_round","schedule_pressure_level","schedule_pressure_reason","source"
"1","Group A","Matchday 1","2026-06-11","13:00 UTC-6","MEX","Mexico","Mexico City","Mexico City Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"1","Group A","Matchday 1","2026-06-11","13:00 UTC-6","RSA","South Africa","Mexico City","Mexico City Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"2","Group A","Matchday 1","2026-06-11","20:00 UTC-6","KOR","South Korea","Guadalajara","Estadio Guadalajara","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"2","Group A","Matchday 1","2026-06-11","20:00 UTC-6","CZE","Czech Republic","Guadalajara","Estadio Guadalajara","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"7","Group B","Matchday 2","2026-06-12","15:00 UTC-4","CAN","Canada","Toronto","Toronto Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"7","Group B","Matchday 2","2026-06-12","15:00 UTC-4","BIH","Bosnia and Herzegovina","Toronto","Toronto Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"19","Group D","Matchday 2","2026-06-12","18:00 UTC-7","USA","United States","Los Angeles","Los Angeles Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"19","Group D","Matchday 2","2026-06-12","18:00 UTC-7","PAR","Paraguay","Los Angeles","Los Angeles Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"8","Group B","Matchday 3","2026-06-13","12:00 UTC-7","QAT","Qatar","San Francisco Bay Area","San Francisco Bay Area Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"8","Group B","Matchday 3","2026-06-13","12:00 UTC-7","SUI","Switzerland","San Francisco Bay Area","San Francisco Bay Area Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
