team_code,date,opponent_name,opponent_code,team_score,opponent_score,result
MEX,2026-03-31,Belgium,BEL,1,1,D
MEX,2026-03-28,Portugal,POR,0,0,D
MEX,2026-02-25,Iceland,,4,0,W
MEX,2026-01-25,Bolivia,,1,0,W
MEX,2026-01-22,Panama,PAN,1,0,W
RSA,2026-03-31,Panama,PAN,1,2,L
RSA,2026-03-27,Panama,PAN,1,1,D
RSA,2026-01-04,Cameroon,,1,2,L
RSA,2025-12-29,Zimbabwe,,3,2,W
RSA,2025-12-26,Egypt,EGY,0,1,L
KOR,2026-03-31,Austria,AUT,0,1,L
KOR,2026-03-28,Ivory Coast,CIV,0,4,L
KOR,2025-11-18,Ghana,GHA,1,0,W
KOR,2025-11-14,Bolivia,,2,0,W
KOR,2025-10-14,Paraguay,PAR,2,0,W
CZE,2026-03-31,Denmark,,2,2,D
CZE,2026-03-26,Republic of Ireland,,2,2,D
CZE,2025-11-17,Gibraltar,,6,0,W
CZE,2025-11-13,San Marino,,1,0,W
CZE,2025-10-12,Faroe Islands,,1,2,L
CAN,2026-03-31,Tunisia,TUN,0,0,D
CAN,2026-03-28,Iceland,,2,2,D
CAN,2025-11-18,Venezuela,,2,0,W
CAN,2025-11-13,Ecuador,ECU,0,0,D
CAN,2025-10-14,Colombia,COL,0,0,D
BIH,2026-03-31,Italy,,1,1,D
BIH,2026-03-26,Wales,,1,1,D
BIH,2025-11-18,Austria,AUT,1,1,D
BIH,2025-11-15,Romania,,3,1,W
BIH,2025-10-12,Malta,,4,1,W
QAT,2025-12-07,Tunisia,TUN,0,3,L
QAT,2025-12-04,Syria,,1,1,D
QAT,2025-12-01,Palestine,,0,1,L
QAT,2025-11-17,Zimbabwe,,1,2,L
QAT,2025-10-14,United Arab Emirates,,2,1,W
SUI,2026-03-31,Norway,NOR,0,0,D
SUI,2026-03-27,Germany,GER,3,4,L
SUI,2025-11-18,Kosovo,,1,1,D
SUI,2025-11-15,Sweden,,4,1,W
SUI,2025-10-13,Slovenia,,0,0,D
BRA,2026-03-31,Croatia,CRO,3,1,W
BRA,2026-03-26,France,FRA,1,2,L
BRA,2025-11-18,Tunisia,TUN,1,1,D
BRA,2025-11-15,Senegal,SEN,2,0,W
BRA,2025-10-14,Japan,JPN,2,3,L
MAR,2026-03-31,Paraguay,PAR,2,1,W
MAR,2026-03-27,Ecuador,ECU,1,1,D
MAR,2026-01-18,Senegal,SEN,3,0,W
MAR,2026-01-14,Nigeria,,0,0,D
MAR,2026-01-09,Cameroon,,2,0,W
HAI,2026-03-31,Iceland,,1,1,D
HAI,2026-03-28,Tunisia,TUN,0,1,L
HAI,2025-11-18,Nicaragua,,2,0,W
HAI,2025-11-13,Costa Rica,,1,0,W
HAI,2025-10-13,Honduras,,0,3,L
SCO,2026-03-31,Ivory Coast,CIV,0,1,L
SCO,2026-03-28,Japan,JPN,0,1,L
SCO,2025-11-18,Denmark,,4,2,W
SCO,2025-11-15,Greece,,2,3,L
SCO,2025-10-12,Belarus,,2,1,W
USA,2026-03-31,Portugal,POR,0,2,L
USA,2026-03-28,Belgium,BEL,2,5,L
USA,2025-11-18,Uruguay,URU,5,1,W
USA,2025-11-15,Paraguay,PAR,2,1,W
USA,2025-10-14,Australia,AUS,2,1,W
PAR,2026-03-31,Morocco,MAR,1,2,L
