fixture_id,date,team,opponent,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct
"871852","2022-11-26T10:00:00+00:00","Tunisia","Australia","4","4","14","6","9","5","16","5","3","58%","3","","1","497","378","76%"
"871852","2022-11-26T10:00:00+00:00","Australia","Tunisia","2","5","9","2","6","3","15","2","0","42%","0","","4","351","239","68%"
"855750","2022-11-26T13:00:00+00:00","Poland","Saudi Arabia","3","4","9","2","9","0","18","4","","36%","3","","5","297","228","77%"
"855750","2022-11-26T13:00:00+00:00","Saudi Arabia","Poland","5","8","16","3","9","7","15","5","","64%","2","","1","537","456","85%"
"855751","2022-11-26T16:00:00+00:00","France","Denmark","7","6","21","8","16","5","4","6","1","49%","1","","1","491","421","86%"
"855751","2022-11-26T16:00:00+00:00","Denmark","France","2","6","10","2","5","5","9","4","1","51%","2","","4","528","456","86%"
"855752","2022-11-26T19:00:00+00:00","Argentina","Mexico","2","3","5","0","2","3","15","4","2","59%","1","","1","528","446","84%"
"855752","2022-11-26T19:00:00+00:00","Mexico","Argentina","1","2","4","1","1","3","19","2","4","41%","4","","0","370","284","77%"
"871853","2022-11-27T10:00:00+00:00","Japan","Costa Rica","3","3","13","7","6","7","22","5","0","57%","3","","0","582","505","87%"
"871853","2022-11-27T10:00:00+00:00","Costa Rica","Japan","1","2","4","1","1","3","9","0","2","43%","3","","3","443","353","80%"
"855753","2022-11-27T13:00:00+00:00","Belgium","Morocco","3","5","10","2","5","5","10","9","3","67%","1","","2","652","577","88%"
"855753","2022-11-27T13:00:00+00:00","Morocco","Belgium","4","6","10","0","6","4","14","1","3","33%","1","","3","328","274","84%"
"855754","2022-11-27T16:00:00+00:00","Croatia","Canada","10","3","13","0","9","4","13","5","1","48%","2","","1","443","372","84%"
"855754","2022-11-27T16:00:00+00:00","Canada","Croatia","2","3","8","3","1","7","5","2","3","52%","2","","6","473","399","84%"
"855755","2022-11-27T19:00:00+00:00","Spain","Germany","3","2","7","2","3","4","13","6","2","64%","1","","3","634","542","85%"
