"team_name","matches_played","wins","draws","losses","goals_for","goals_against","goal_difference","avg_goals_for","avg_goals_against","stats_matches_available","avg_ball_possession_pct","avg_total_shots","avg_shots_on_goal","avg_corner_kicks","avg_fouls","avg_yellow_cards","total_red_cards","avg_total_passes","avg_pass_accuracy_pct","lineup_matches_available","most_used_formation","most_used_formation_matches","player_records","source"
"Argentina","7","4","2","1","15","8","7","2.14","1.14","6","55.67","14.17","6.83","5","15.5","2.83","0","621.17","85.5","6","4-3-3","3","153","API-Football 2022 fixtures + statistics + lineups"
"Australia","4","2","0","2","4","6","-2","1","1.5","3","37.33","7.33","2.33","2.33","13.67","1.33","","363.33","71.67","3","4-4-2","2","77","API-Football 2022 fixtures + statistics + lineups"
"Belgium","3","1","1","1","1","2","-1","0.33","0.67","2","59.5","13","3","6.5","9.5","1","","622.5","88","2","4-2-3-1","2","51","API-Football 2022 fixtures + statistics + lineups"
"Brazil","5","3","1","1","8","3","5","1.6","0.6","4","55.25","18.25","8","7.75","14","1.5","0","596","88.5","4","4-2-3-1","3","94","API-Football 2022 fixtures + statistics + lineups"
"Cameroon","3","1","1","1","4","4","0","1.33","1.33","2","38","10","5.5","3.5","11","3.5","1","319.5","74.5","2","4-2-3-1","1","47","API-Football 2022 fixtures + statistics + lineups"
"Canada","3","0","0","3","2","7","-5","0.67","2.33","2","55.5","6.5","1","4","9.5","3","","498.5","85","2","4-4-1-1","1","51","API-Football 2022 fixtures + statistics + lineups"
"Costa Rica","3","1","0","2","3","11","-8","1","3.67","2","37.5","5.5","3","0.5","6","2","","390","77.5","2","5-4-1","2","51","API-Football 2022 fixtures + statistics + lineups"
"Croatia","7","2","4","1","8","7","1","1.14","1","6","52.83","12.33","4.17","4.17","13.17","1.33","","585.17","85.5","6","4-3-3","5","153","API-Football 2022 fixtures + statistics + lineups"
"Denmark","3","0","1","2","1","3","-2","0.33","1","2","60","11.5","2.5","5","9.5","1.5","","596","84.5","2","4-3-3","1","50","API-Football 2022 fixtures + statistics + lineups"
"Ecuador","3","1","1","1","4","3","1","1.33","1","1","61","9","4","3","23","0","","434","77","1","4-3-3","1","25","API-Football 2022 fixtures + statistics + lineups"
"England","5","3","1","1","13","4","9","2.6","0.8","3","61","14","6.33","4.67","11.67","0.33","","562","87.33","3","4-3-3","3","74","API-Football 2022 fixtures + statistics + lineups"
"France","7","5","1","1","16","8","8","2.29","1.14","6","49.67","13.17","5.17","5","10.5","1.33","","489.33","82.83","6","4-2-3-1","5","143","API-Football 2022 fixtures + statistics + lineups"
"Germany","3","1","1","1","6","5","1","2","1.67","2","52","21.5","7.5","9.5","10","1.5","","528.5","84","2","4-2-3-1","2","52","API-Football 2022 fixtures + statistics + lineups"
"Ghana","3","1","0","2","5","7","-2","1.67","2.33","2","44","8.5","3.5","5","13.5","2","","376","79.5","2","4-2-3-1","2","52","API-Football 2022 fixtures + statistics + lineups"
"Iran","3","1","0","2","4","7","-3","1.33","2.33","1","49","4","1","1","14","3","","466","77","1","4-4-1-1","1","24","API-Football 2022 fixtures + statistics + lineups"
"Japan","4","2","1","1","5","4","1","1.25","1","3","39","10.67","3.33","4.33","14.67","2","","444.67","76.33","3","3-4-3","2","76","API-Football 2022 fixtures + statistics + lineups"
